,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cambuí,-22.6122,-46.0575,59.5,67,56,3.87,BR,1627941561
1,Longyearbyen,78.2186,15.6401,42.24,91,100,9.91,SJ,1627941561
2,Bambous Virieux,-20.3428,57.7575,59.25,88,20,8.05,MU,1627941562
3,Talnakh,69.4865,88.3972,66.29,53,100,4.59,RU,1627941562
4,Pevek,69.7008,170.3133,35.04,81,100,19.08,RU,1627941563
5,Olafsvik,64.8945,-23.7142,53.11,81,100,4.56,IS,1627941563
6,Eirunepé,-6.6603,-69.8736,84.65,41,12,2.68,BR,1627941563
7,Carnarvon,-24.8667,113.6333,46.47,47,0,11.5,AU,1627941564
8,Bluff,-46.6,168.3333,45.81,68,93,9.13,NZ,1627941564
9,Cologne,50.9333,6.95,58.96,87,0,1.14,DE,1627941565
10,Kapaa,22.0752,-159.319,85.98,84,23,5.01,US,1627941480
11,Hobart,-42.8794,147.3294,44.28,89,75,3.0,AU,1627941565
12,Nikolskoye,59.7035,30.7861,63.39,99,100,8.88,RU,1627941566
13,Wattegama,6.7989,81.4808,77.92,68,100,4.83,LK,1627941566
14,Arraial do Cabo,-22.9661,-42.0278,73.36,77,0,10.36,BR,1627941566
15,Pangnirtung,66.1451,-65.7125,48.2,93,75,14.97,CA,1627941567
16,Rikitea,-23.1203,-134.9692,69.06,57,83,21.63,PF,1627941567
17,Veinte de Noviembre,14.9833,-92.25,84.24,82,83,4.63,MX,1627941567
18,Maryville,35.7565,-83.9705,85.06,50,99,3.0,US,1627941568
19,Narasannapeta,18.4167,84.05,81.75,71,98,5.46,IN,1627941568
20,Roanoke Rapids,36.4615,-77.6542,83.44,69,1,4.61,US,1627941569
21,Thompson,55.7435,-97.8558,77.16,47,20,5.75,CA,1627941569
22,Vaini,-21.2,-175.2,73.56,73,40,12.66,TO,1627941569
23,Payo,-3.7508,103.6372,71.49,95,81,2.46,ID,1627941570
24,Kiryat Gat,31.61,34.7642,84.4,47,0,4.32,IL,1627941543
25,Lavrentiya,65.5833,-171.0,44.69,99,100,8.39,RU,1627941571
26,Tuktoyaktuk,69.4541,-133.0374,50.0,87,90,9.22,CA,1627941571
27,Hithadhoo,-0.6,73.0833,81.68,69,100,5.19,MV,1627941572
28,Busselton,-33.65,115.3333,54.19,76,100,7.23,AU,1627941572
29,Mumford,5.2618,-0.759,76.26,90,100,6.53,GH,1627941573
30,New Norfolk,-42.7826,147.0587,43.92,80,100,2.66,AU,1627941573
31,Hermanus,-34.4187,19.2345,57.79,89,3,9.75,ZA,1627941573
32,Dingle,10.9995,122.6711,79.0,86,100,9.98,PH,1627941574
33,Ambon City,-3.6954,128.1814,75.34,94,40,5.75,ID,1627941574
34,Vavuniya,8.7514,80.4971,77.74,79,92,9.46,LK,1627941575
35,Sarāhan,31.5167,77.8,64.06,82,53,2.51,IN,1627941575
36,La Palma,33.8464,-118.0467,110.66,45,0,5.01,US,1627941575
37,Fortuna,40.5982,-124.1573,68.94,71,1,1.01,US,1627941576
38,Złotoryja,51.1264,15.9198,59.67,81,14,6.91,PL,1627941576
39,Punta Arenas,-53.15,-70.9167,41.02,81,40,29.93,CL,1627941576
40,Esperance,-33.8667,121.9,46.24,80,100,12.03,AU,1627941577
41,Hūn,29.1268,15.9477,87.24,20,0,11.79,LY,1627941577
42,Lüderitz,-26.6481,15.1594,66.81,37,0,1.83,NA,1627941578
43,Ojinaga,29.5667,-104.4167,88.41,51,90,10.36,MX,1627941578
44,Chui,-33.6971,-53.4616,49.77,94,20,5.53,UY,1627941578
45,Puerto Ayora,-0.7393,-90.3518,78.76,84,70,11.36,EC,1627941579
46,Kaitangata,-46.2817,169.8464,47.93,63,100,9.91,NZ,1627941579
47,Beisfjord,68.3751,17.5988,50.05,97,100,3.06,NO,1627941579
48,Torbay,47.6666,-52.7314,67.68,69,90,8.05,CA,1627941580
49,Bathsheba,13.2167,-59.5167,84.81,74,20,9.22,BB,1627941580
50,Ilulissat,69.2167,-51.1,41.94,82,99,2.17,GL,1627941581
51,Bubaque,11.2833,-15.8333,79.47,81,98,18.81,GW,1627941581
52,Mataura,-46.1927,168.8643,45.48,95,100,2.28,NZ,1627941582
53,Ürümqi,43.801,87.6005,70.75,25,0,11.18,CN,1627941582
54,Srednekolymsk,67.45,153.6833,47.19,54,80,10.18,RU,1627941582
55,Monrovia,6.3005,-10.7969,74.97,74,50,7.25,LR,1627941468
56,Waipawa,-41.4122,175.5153,47.03,82,100,12.86,NZ,1627941583
57,Albany,42.6001,-73.9662,77.81,48,13,11.16,US,1627941418
58,Hilo,19.7297,-155.09,79.79,74,75,6.91,US,1627941583
59,Krasnosel'kup,65.7,82.4667,60.53,86,99,9.08,RU,1627941584
60,Tasiilaq,65.6145,-37.6368,42.75,83,100,2.59,GL,1627941584
61,Ishigaki,24.3448,124.1572,78.93,100,75,2.3,JP,1627941585
62,Dikson,73.5069,80.5464,50.41,81,81,9.91,RU,1627941585
63,Cabo San Lucas,22.8909,-109.9124,99.52,67,50,11.27,MX,1627941586
64,East London,-33.0153,27.9116,59.68,79,63,17.63,ZA,1627941319
65,Husavik,66.0449,-17.3389,55.31,88,79,4.36,IS,1627941587
66,Castro,-24.7911,-50.0119,51.66,82,0,1.57,BR,1627941587
67,Ushuaia,-54.8,-68.3,42.46,61,75,6.91,AR,1627941445
68,Airai,-8.9266,125.4092,55.47,81,71,3.38,TL,1627941588
69,Beaverlodge,55.2166,-119.4361,76.35,84,100,0.83,CA,1627941588
70,Maryborough,-25.5333,152.7,63.34,90,26,4.99,AU,1627941589
71,Beringovskiy,63.05,179.3167,44.64,96,100,8.97,RU,1627941589
72,Russell,32.3502,-85.1999,83.91,81,75,25.32,US,1627941589
73,Nanortalik,60.1432,-45.2371,44.62,93,96,2.04,GL,1627941590
74,Barrow,71.2906,-156.7887,44.85,79,99,15.52,US,1627941590
75,Yellowknife,62.456,-114.3525,90.32,25,75,9.22,CA,1627941295
76,Vardø,70.3705,31.1107,43.0,83,20,2.55,NO,1627941591
77,Hervey Bay,-25.2986,152.8535,62.71,87,4,12.91,AU,1627941591
78,Okhotsk,59.3833,143.3,58.51,64,100,9.51,RU,1627941591
79,Mae Sot,16.7167,98.5667,73.35,99,99,2.37,TH,1627941592
80,Avarua,-21.2078,-159.775,78.85,83,90,9.22,CK,1627941592
81,Nador,35.174,-2.9287,71.85,78,0,3.44,MA,1627941593
82,Mbanza-Ngungu,-5.25,14.8667,75.9,46,77,8.16,CD,1627941593
83,Phang Nga,8.4509,98.5298,84.9,93,99,6.49,TH,1627941593
84,Evensk,61.95,159.2333,50.0,50,7,12.12,RU,1627941594
85,Lagoa,39.05,-27.9833,72.12,91,4,4.7,PT,1627941594
86,Jamestown,42.097,-79.2353,73.09,61,0,3.24,US,1627941595
87,Bucerías,20.75,-105.3333,88.99,75,9,8.7,MX,1627941595
88,Quatre Cocos,-20.2078,57.7625,59.11,70,1,3.83,MU,1627941595
89,Meulaboh,4.1363,96.1285,74.59,85,83,4.94,ID,1627941596
90,Lufilufi,-13.8745,-171.5986,82.18,70,76,10.13,WS,1627941596
91,Bredasdorp,-34.5322,20.0403,57.27,93,18,3.44,ZA,1627941597
92,Kandrian,-6.2167,149.55,79.27,83,81,5.21,PG,1627941597
93,Okitipupa,6.5047,4.7839,74.03,95,100,2.59,NG,1627941597
94,Kibi,6.1649,-0.5538,71.76,91,99,2.15,GH,1627941598
95,Port Hardy,50.6996,-127.4199,64.58,68,75,5.75,CA,1627941598
96,Saskylakh,71.9167,114.0833,64.53,61,24,7.9,RU,1627941598
97,Berlevåg,70.8578,29.0864,47.05,82,7,3.04,NO,1627941599
98,Mabaruma,8.2,-59.7833,75.43,94,57,3.13,GY,1627941599
99,Qurayyat,31.3318,37.3428,82.58,26,0,16.11,SA,1627941600
100,Mar del Plata,-38.0023,-57.5575,54.09,54,0,11.01,AR,1627941530
101,Nhulunbuy,-12.2333,136.7667,70.41,94,40,2.3,AU,1627941600
102,Clyde River,70.4692,-68.5914,43.03,81,20,9.22,CA,1627941600
103,Ávato,40.9667,24.8,84.94,51,0,3.51,GR,1627941601
104,Kenai,60.5544,-151.2583,75.02,75,26,5.91,US,1627941601
105,Umm Kaddadah,13.6017,26.6876,80.85,64,62,20.02,SD,1627941603
106,Sheregesh,52.9209,87.9869,54.25,90,10,4.09,RU,1627941604
107,Morondava,-20.2833,44.2833,67.82,74,7,13.02,MG,1627941605
108,Bethel,41.3712,-73.414,80.35,59,36,5.93,US,1627941605
109,Taltal,-25.4,-70.4833,60.03,75,23,2.53,CL,1627941606
110,Wagar,16.1525,36.2032,83.89,61,100,11.7,SD,1627941607
111,Tete,-16.1564,33.5867,65.62,39,0,4.05,MZ,1627941607
112,Xichang,27.8964,102.2634,62.1,75,18,1.88,CN,1627941608
113,Geraldton,-28.7667,114.6,45.01,87,3,11.5,AU,1627941609
114,Butaritari,3.0707,172.7902,82.9,71,35,4.99,KI,1627941610
115,George Town,5.4112,100.3354,80.89,87,20,2.3,MY,1627941610
116,Qaanaaq,77.484,-69.3632,45.12,66,100,3.47,GL,1627941611
117,Ponta do Sol,32.6667,-17.1,73.0,77,8,6.96,PT,1627941612
118,Mormugao,15.4,73.8,78.58,81,84,16.82,IN,1627941612
119,Kisangani,0.5167,25.2,70.18,83,66,2.51,CD,1627941613
120,Newport,51.5877,-2.9984,60.08,87,87,7.52,GB,1627941438
121,Nālūt,30.3333,10.85,89.69,14,0,13.56,LY,1627941614
122,Solwezi,-12.1688,26.3894,57.02,52,29,3.2,ZM,1627941614
123,Neuquén,-38.9516,-68.0591,60.49,28,47,8.25,AR,1627941615
124,Menongue,-14.6585,17.691,54.82,40,4,4.47,AO,1627941616
125,Ayagoz,47.9714,80.4392,69.44,39,20,6.2,KZ,1627941616
126,Poum,-20.2333,164.0167,68.4,64,9,9.33,NC,1627941617
127,Ulaangom,49.9811,92.0667,59.76,47,1,2.55,MN,1627941618
128,Novikovo,51.1537,37.8879,66.67,90,66,4.52,RU,1627941618
129,Tual,-5.6667,132.75,81.45,73,96,18.79,ID,1627941620
130,Burgeo,47.6167,-57.6152,60.17,83,99,11.7,CA,1627941620
131,Cortez,37.3489,-108.5859,84.67,48,6,10.4,US,1627941621
132,Taywarah,33.35,64.4167,55.87,28,0,6.64,AF,1627941622
133,Yerbogachën,61.2767,108.0108,61.9,72,100,3.49,RU,1627941623
134,Woodstock,43.1334,-80.7497,74.95,55,78,8.16,CA,1627941389
135,Hue,16.4667,107.6,82.96,69,100,6.49,VN,1627941624
136,Agropoli,40.3469,14.9966,74.44,72,10,1.99,IT,1627941624
137,Magistral'nyy,56.1725,107.4458,57.96,75,100,1.59,RU,1627941625
138,Chengalpattu,12.7,79.9833,83.91,52,100,9.06,IN,1627941626
139,Anadyr,64.75,177.4833,41.5,93,90,28.99,RU,1627941627
140,Liepāja,56.5419,21.0367,62.65,88,75,6.91,LV,1627941620
141,Kahului,20.8947,-156.47,83.46,75,22,15.01,US,1627941628
142,Cayenne,4.9333,-52.3333,83.08,79,44,1.01,GF,1627941628
143,Mbigou,-1.9005,11.906,69.6,83,99,2.35,GA,1627941629
144,Alice Springs,-23.7,133.8833,38.75,52,0,5.75,AU,1627941630
145,Severnoye,56.3491,78.3619,56.35,97,46,5.44,RU,1627941631
146,Quelimane,-17.8786,36.8883,61.9,78,0,3.67,MZ,1627941632
147,College,64.8569,-147.8028,82.29,49,98,2.55,US,1627941632
148,Joaçaba,-27.1781,-51.5047,50.49,82,0,0.94,BR,1627941633
149,Kerman,30.2832,57.0788,75.06,17,0,0.0,IR,1627941463
150,Cap Malheureux,-19.9842,57.6142,69.73,63,1,4.41,MU,1627941634
151,Port Elizabeth,-33.918,25.5701,57.49,82,75,12.66,ZA,1627941469
152,Hambantota,6.1241,81.1185,79.14,94,0,9.22,LK,1627941634
153,Northam,51.0333,-4.2167,59.02,88,27,6.64,GB,1627941635
154,Bulawayo,-20.15,28.5833,54.43,28,0,7.23,ZW,1627941636
155,Haines Junction,60.7522,-137.5108,75.2,43,94,2.66,CA,1627941636
156,Correntina,-13.3433,-44.6367,69.35,40,88,4.63,BR,1627941637
157,Washougal,45.5826,-122.3534,100.45,31,25,1.01,US,1627941638
158,Awjilah,29.1081,21.2869,87.91,28,0,12.46,LY,1627941639
159,Korla,41.7597,86.1469,76.98,23,98,2.86,CN,1627941640
160,Verkhnyaya Inta,65.9811,60.3094,53.76,85,44,5.46,RU,1627941640
161,Diamantino,-14.4086,-56.4461,78.73,28,59,6.53,BR,1627941641
162,Porto San Giorgio,43.1827,13.7934,76.86,62,85,6.62,IT,1627941641
163,Pisco,-13.7,-76.2167,64.02,84,6,6.6,PE,1627941642
164,Cape Town,-33.9258,18.4232,57.11,92,0,2.3,ZA,1627941525
165,Salekhard,66.53,66.6019,52.48,84,100,6.11,RU,1627941643
166,Poronaysk,49.2167,143.1167,61.74,75,0,7.11,RU,1627941644
167,Port Hawkesbury,45.6169,-61.3485,62.44,99,90,3.0,CA,1627941645
168,Neijiang,29.5835,105.0622,77.67,84,0,1.39,CN,1627941645
169,Atuona,-9.8,-139.0333,77.58,76,22,19.01,PF,1627941627
170,Biograd na Moru,43.9433,15.4519,78.76,49,94,7.0,HR,1627941646
171,Sept-Îles,50.2001,-66.3821,66.72,73,75,3.0,CA,1627941483
172,Cherskiy,68.75,161.3,42.42,57,89,15.93,RU,1627941647
173,Waslala,13.2333,-85.3833,81.84,73,100,6.73,NI,1627941647
174,Ghimbav,45.6667,25.5,67.19,77,0,2.1,RO,1627941648
175,Mahébourg,-20.4081,57.7,67.51,69,1,2.77,MU,1627941648
176,Bereda,43.2686,-7.5406,58.75,96,10,2.33,ES,1627941649
177,Tuatapere,-46.1333,167.6833,46.81,82,99,4.27,NZ,1627941649
178,Vysokogornyy,50.1167,139.15,60.94,90,93,3.71,RU,1627941650
179,Manta,-0.95,-80.7333,74.01,77,100,13.2,EC,1627941651
180,Mount Isa,-20.7333,139.5,62.37,34,75,18.41,AU,1627941651
181,Zeya,53.75,127.2667,60.87,83,99,3.38,RU,1627941652
182,Balaka,-14.9793,34.9558,59.07,38,0,3.71,MW,1627941653
183,Egvekinot,66.3167,-179.1667,34.9,90,100,14.09,RU,1627941653
184,Hamilton,39.1834,-84.5333,78.96,52,61,1.01,US,1627941619
185,Owensboro,37.7742,-87.1133,81.01,49,0,4.9,US,1627941599
186,Vila Velha,-20.3297,-40.2925,73.96,78,0,1.14,BR,1627941499
187,Shizunai-furukawachō,42.3339,142.3669,75.4,87,89,5.41,JP,1627941655
188,Río Gallegos,-51.6226,-69.2181,41.95,69,23,36.55,AR,1627941655
189,Podporozh'ye,60.9112,34.1706,60.13,97,100,10.47,RU,1627941656
190,Luwuk,-0.9516,122.7875,75.42,77,50,5.3,ID,1627941656
191,Hong Kong,22.2855,114.1577,83.32,91,100,3.0,HK,1627941657
192,Port Alfred,-33.5906,26.891,58.08,81,35,20.38,ZA,1627941657
193,Yangi Marg`ilon,40.4272,71.7189,74.62,37,99,0.85,UZ,1627941658
194,Kumul,42.8,93.45,76.73,21,1,5.7,CN,1627941658
195,Gambēla,8.25,34.5833,68.7,93,100,2.73,ET,1627941659
196,Vostok,46.4856,135.8833,70.12,80,55,0.92,RU,1627941659
197,Hofn,64.2539,-15.2082,53.47,86,91,8.37,IS,1627941660
198,Kawalu,-7.3817,108.2082,71.46,98,98,1.86,ID,1627941660
199,Camacha,33.0833,-16.3333,69.53,73,40,8.05,PT,1627941662
200,Richards Bay,-28.783,32.0377,64.24,82,95,3.62,ZA,1627941662
201,Mill Valley,37.906,-122.545,92.32,67,96,5.99,US,1627941628
202,Saint George,37.1041,-113.5841,104.63,20,1,1.99,US,1627941597
203,Leh,34.1667,77.5833,62.8,45,18,5.57,IN,1627941663
204,Seymchan,62.8833,152.4333,45.88,56,47,11.97,RU,1627941663
205,Saint-Philippe,-21.3585,55.7679,66.22,67,11,0.51,RE,1627941664
206,Hansot,21.5833,72.8,80.76,81,100,17.76,IN,1627941664
207,Kaitong,44.8135,123.15,63.37,96,100,10.42,CN,1627941665
208,Cervo,43.6702,-7.4101,59.97,82,41,0.54,ES,1627941665
209,Fairbanks,64.8378,-147.7164,84.02,45,98,1.01,US,1627941608
210,Maku,39.2911,44.4521,68.85,47,22,1.48,IR,1627941666
211,Narsaq,60.9167,-46.05,53.82,89,92,7.05,GL,1627941667
212,Tsiroanomandidy,-18.7667,46.0333,57.4,77,5,2.21,MG,1627941668
213,Antibes,43.5624,7.1278,75.56,69,0,17.27,FR,1627941553
214,Nome,64.5011,-165.4064,59.16,96,100,14.94,US,1627941668
215,Khatanga,71.9667,102.5,64.98,62,75,9.62,RU,1627941669
216,Haapiti,-17.5667,-149.8667,82.13,72,90,14.65,PF,1627941669
217,Semenivka,52.1783,32.5818,61.23,91,6,10.42,UA,1627941669
218,Isiro,2.7739,27.616,65.07,91,99,1.79,CD,1627941670
219,Alofi,-19.0595,-169.9187,75.24,65,28,14.29,NU,1627941670
220,Hobyo,5.3505,48.5268,77.22,78,38,23.49,SO,1627941670
221,Comodoro Rivadavia,-45.8667,-67.5,60.66,36,0,12.66,AR,1627941671
222,Pak Thong Chai,14.7226,102.0251,77.25,80,100,9.31,TH,1627941672
223,San Patricio,28.017,-97.5169,97.52,43,39,11.83,US,1627941672
224,Nouakchott,18.0858,-15.9785,80.53,86,93,6.87,MR,1627941672
225,Iqaluit,63.7506,-68.5145,50.7,93,100,4.0,CA,1627941673
226,Katsuura,35.1333,140.3,83.19,84,42,10.16,JP,1627941673
227,Saldanha,-33.0117,17.9442,56.71,71,0,5.28,ZA,1627941673
228,Chaman,30.9236,66.4512,77.65,12,3,7.47,PK,1627941674
229,Wagga Wagga,-35.1167,147.3667,46.81,100,90,6.91,AU,1627941604
230,Goderich,43.7501,-81.7165,72.21,66,15,2.62,CA,1627941674
231,Lewisville,33.0462,-96.9942,89.69,61,90,1.01,US,1627941196
232,Lima,-12.0432,-77.0282,63.14,72,75,6.91,PE,1627941490
233,Bengkulu,-3.8004,102.2655,74.95,89,47,3.51,ID,1627941675
234,Telgte,51.9833,7.7833,58.82,100,75,1.14,DE,1627941534
235,Jieshi,22.8134,115.8257,84.94,85,91,1.45,CN,1627941676
236,Kamenka,51.3223,42.7678,75.56,42,30,2.39,RU,1627941676
237,Ventspils,57.3894,21.5606,58.93,88,20,5.75,LV,1627941677
238,Tacuarembó,-31.7333,-55.9833,49.15,74,0,3.58,UY,1627941677
239,Klaksvík,62.2266,-6.589,50.92,86,100,11.32,FO,1627941677
240,Cidreira,-30.1811,-50.2056,53.56,85,0,6.33,BR,1627941678
241,Salò,45.6086,10.531,68.11,80,4,6.04,IT,1627941679
242,Portland,45.5234,-122.6762,98.53,39,55,1.01,US,1627941491
243,Bose,45.4612,8.0137,66.09,76,57,5.12,IT,1627941679
244,Loviisa,60.4566,26.2251,62.46,89,100,2.95,FI,1627941680
245,Dzaoudzi,-12.7887,45.2699,71.49,83,0,3.44,YT,1627941681
246,Juneau,58.3019,-134.4197,67.84,71,100,5.39,US,1627941508
247,Tigil',57.8,158.6667,53.6,70,47,13.91,RU,1627941681
248,Pacific Grove,36.6177,-121.9166,90.0,71,77,3.0,US,1627941682
249,Henties Bay,-22.116,14.2845,65.86,62,0,6.96,NA,1627941682
250,San Miguel de Cozumel,20.5083,-86.9458,89.67,69,75,11.99,MX,1627941609
251,Mezen',65.8522,44.24,55.49,97,52,4.99,RU,1627941683
252,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,82,40,6.71,RU,1627941683
253,Grajaú,-5.8194,-46.1386,81.07,28,5,4.05,BR,1627941683
254,Tessalit,20.1986,1.0114,87.12,41,46,16.24,ML,1627941684
255,Oga,46.4631,10.347,50.81,91,46,2.51,IT,1627941684
256,Morehead,37.2711,-87.1764,82.85,49,40,1.99,US,1627941685
257,Saint Paul Harbor,57.79,-152.4072,54.91,82,90,6.91,US,1627941685
258,Imbituba,-28.24,-48.6703,60.82,91,45,8.37,BR,1627941685
259,Mongoumba,3.6415,18.5936,74.16,84,99,2.3,CF,1627941686
260,Yumen,40.2833,97.2,64.54,22,65,0.89,CN,1627941686
261,Codrington,-38.2667,141.9667,43.2,93,100,8.46,AU,1627941687
262,Laguna,38.421,-121.4238,101.64,19,1,4.0,US,1627941687
263,Ribeira Grande,38.5167,-28.7,73.31,92,48,7.4,PT,1627941688
264,Guánica,17.9716,-66.908,84.97,85,83,6.15,PR,1627941688
265,Hasaki,35.7333,140.8333,81.28,87,97,10.94,JP,1627941689
266,Chara,56.9064,118.2631,54.91,75,72,2.04,RU,1627941689
267,Belmonte,-15.8631,-38.8828,70.3,74,64,9.08,BR,1627941690
268,Yenagoa,4.9247,6.2642,75.43,92,100,4.07,NG,1627941690
269,Waihi Beach,-37.4,175.9333,55.11,80,75,8.99,NZ,1627941691
270,Ixtapa,20.7,-105.2,88.23,75,21,5.99,MX,1627941692
271,Lālmohan,22.3384,90.7419,80.78,83,97,6.24,BD,1627941692
272,Norman Wells,65.282,-126.8329,88.75,25,0,9.53,CA,1627941692
273,Atambua,-9.1061,124.8925,69.76,88,75,5.21,ID,1627941693
274,Paralímni,35.0375,33.9833,85.12,40,0,1.01,CY,1627941693
275,Erzin,36.9559,36.2,80.01,80,1,1.52,TR,1627941694
276,Jinchang,38.4953,102.1739,66.72,61,100,5.23,CN,1627941694
277,Kuytun,54.3419,101.5036,51.33,95,69,5.55,RU,1627941694
278,Chokurdakh,70.6333,147.9167,47.68,52,63,8.19,RU,1627941695
279,Bowen,-20.0167,148.2333,66.72,76,7,5.93,AU,1627941695
280,Te Anau,-45.4167,167.7167,40.66,90,45,1.54,NZ,1627941690
281,Bull Savanna,17.8868,-77.5902,83.34,66,48,13.42,JM,1627941696
282,Huarmey,-10.0681,-78.1522,68.56,73,3,10.85,PE,1627941696
283,Waitati,-45.75,170.5667,45.81,71,100,11.43,NZ,1627941697
284,Ostrovnoy,68.0531,39.5131,51.82,96,72,4.99,RU,1627941697
285,Chimoio,-19.1164,33.4833,55.78,65,0,2.48,MZ,1627941697
286,Kupang,-10.1667,123.5833,73.98,94,20,5.75,ID,1627941698
287,Nevers,46.9896,3.159,63.45,71,99,3.06,FR,1627941698
288,Pangani,-5.4333,38.9667,71.64,83,45,6.15,TZ,1627941699
289,Tjøme,59.1109,10.3933,59.34,78,90,2.3,NO,1627941699
